"","names","indirizzi","cap"
"1204","Studio Immobiliare Imbimbo","via Italo Orto 84",128
"1205","Quadrifoglio Immobiliare Re Di Roma","Piazza Re di Roma 7",100
"1206","aa immobiliare","viale tiziano 110",196
"1207","Pennese Immobiliare","Via L. dal Verme 21",176
"1208","Coldwell Banker D.N. REAL ESTATE di Donato Notargiacomo","Via Famagosta 2",192
"1209","Affiliato Tecnocasa: IMMOBILIARE TORPIGNATTARA S.R.L.","Via Antonio Tempesta 38",176
"1210","Taloni Immobiliare di Alfredo Taloni","Via Veturia 34",181
"1211","Affiliato Tecnocasa: SERVIZI IMMOBILIARI BUFALOTTA S.R.L.","Via Corrado Mantoni 5",139
"1212","Rossi Intermediazione Immobiliare ","Corso Trieste 146 C/D",198
"1213","Europa Case","via Enea 54",181
"1214","LCRE Location Consulting &Real Estate ","via cola di rienzo 212",192
"1215","Gigra immobiliare di Gionta Giovanna","via giovanni villani 81",179
"1216","Affiliato Tecnocasa: VOLSCI IMMOBILIARE S.R.L.S","Corso Costituente 28",40
"1217","THE CITY","Via In Arcione  98",187
"1218","Agenzia Cas@click!","
",NA
"1219","BUILDINGCASE BALDUINA IMMOBILIARE SRL","Viale Medaglie d'oro 13",136
"1220","APM IMMOBILIARE"," Via Federico Delpino 101/103",171
"1221","Gruppo RE Agency","Via Gino Capponi  92/94",179
"1222","DMD SERVIZI IMMOBILIARI","PIAZZA MATTEI 12",186
"1223","CMC REAL ESTATE","via baiamonti  4",100
"1224","Ranieri Immobiliare","Viale Liegi 35/b",198
"1225","Affiliato Tecnocasa: STUDIO AURELIA S.R.L.","VIA AURELIA 446",165
"1226","Gruppo Parisi Immobiliare srl","Via Homs 35",199
"1227","Affiliato Tecnocasa NUOVA IMMOBILIARE ANZIO  S.R.L.S ","via di villa claudia 53/c",42
"1228","REMAX Arts","via delle Pinete 117",40
"1229","Affiliato Tecnocasa: CIAMPINO MEDIAZIONI S.R.L.S.","Via Palermo 8",43
"1230","Fiano Immobiliare srl","viale G.Bruno 34",65
"1231","DELTA Immobiliare di Antonio Natali","Via Angelo Bargoni 78",153
"1232","Cassiauno Immobiliare srl","Via Cassia 668",189
"1233","REGROUP agency","VIALE GIUSEPPE MAZZINI 137",195
"1234","Affiliato Tecnocasa: STUDIO ACILIA S.R.L.","Via Antonio Alabanti 18",125
"1235","CAROSI Immobiliare","via Nomentana (Montesacro) 0000",137
"1236","Abitare in... di Fraepa srl","Via dell'Università 27",199
"1237","Affiliato Tecnocasa: GIARDINETTI MEDIAZIONE S.R.L.","via dei giardinetti 94",133
"1238","MillesImmobiliare","Sede amministrativa: Via Morazzone 14",188
"1239","Progedil Case Mare Srl","Piazza Lavinia  1",42
"1240","Eretum Re srl - Gabetti Monterotondo","Via XX Settembre, 19",15
"1241","Giacobbe Immobiliare","Viale Val Padana 78/80",141
"1242","Realestate in Rome Srl","via Lorenzo Magalotti  15",197
"1243","marco montemauri","via simeto  42",198
"1244","SAGI srl - Costruzioni Edili","Viale Ettore Franceschini 48",155
"1245","Studio Immobiliare Paola T.I.","via montello nc",195
"1246","Linea immobiliare 2000 srl","Via Ivanoe Bonomi 161",139
"1247","Affiliato Tecnocasa: STUDIO APPIO TUSCOLANO S.R.L.","largo m. unia 12",181
"1248","Studio Case","Via di Boccea 678",166
"1249","VICTORIANA GROUP","Piazzale Clodio 14",195
"1250","ENEA servizi immobiliari","Via Ardeatina  323",42
"1251","AD case srl "," Via Rianese  48",60
"1252","Gruppo Cascino","VIA ANTONIO MALFANTE 81",147
"1253","MUSICASA Srl","Via Augusto Riboty 28",193
"1254","Piazza Affari S.r.l. Real Estate Agency","Viale Angelico 253",195
"1255","ROMA FLAMINIA AFFILIATO GRIMALDI- AGENZIA FLAMINIO SERVIZI IMMOBILIARI SRL","VIALE DEL VIGNOLA 52/C",196
"1256","Menc Immobiliare di D'Andretta Emanuele","Via Nomentana 643",141
"1257","Affiliato Tecnocasa: STUDIO PRIMAVERA S.R.L.","via della primavera 29/A",172
"1258","Affiliato Tecnocasa: STUDIO IMMOBILIARE TORRINO S.R.L.","via della grande muraglia 160",144
"1259","Quadrifoglio Immobiliare Baleniere","Viale Vasco de Gama 64",100
"1260","Real Estate Group Srl","
",NA
"1261","Affiliato Tecnocasa: ARICCIA TEAM S.R.L.","Corso Garibaldi 5",40
"1262","Gabetti - A.R. SOLUZIONI IMMOBILIARI - S.R.L. UNIPERSONALE -  - ROMA","Via Leon Pancaldo 16",147
"1263","Gagi Immobiliare di Gattabria Giorgio","Via Attilio Ambrosini 176",147
"1264","City Casa Srl","Via Magliano Sabina  29/A",199
"1265","Abinvest Immobiliare di Fabrizio Cordova s.a.s.","Via Monte Zebio 32",195
"1266","Studio Roma - Immobiliare Roma","L.go A. Pepere 16 - V.le Eroi di Rodi  150",128
"1267","GABETTI ROMA LIBIA - VESCOVIO","Piazza Gimma 5/6",199
"1268","Minutelli Consulenze Immobiliari  di Federica Minutelli","largo olgiata 15",123
"1269","Affiliato Tecnocasa: STUDIO SALARIO S.R.L.","VIA A. SILVANI 41",139
"1270","Investincase.it","Via Emilio Lepido 36/C",175
"1271","Affiliato Tecnocasa: STUDIO SAN GIOVANNI METRONIO S.R.L.","Via Acaia  30/32",183
"1272","Sceglicasa ","Via Tuscolana  256",181
"1273","Stabinvest ","Viale  B. Buozzi  47",197
"1274","country house srl","borgo garibaldi  80",41
"1275","Stella Immobiliare","Via della Bonifica di Torrimpietra  16",54
"1276","CAVOLA IMMOBILIARE","Via napoli 33",40
"1277","Solo Affitti - Roma 19","Via Vico Consorti 218",127
"1278","SicuraImmobiliare di Gianmarco Pirola","Via Baldo degli Ubaldi  46",167
"1279","Olivia Chapperon","via di Quarto Annunziata  26",189
"1280","Red Houses","Via Tuscia  43",191
"1281","Affiliato Tecnocasa: OSTIA MAR ROSSO 2007 S.R.L. UNIPERSONALE","via Mar Rosso  9",122
"1282","Arimar Immobiliare","Via Cortina D'ampezzo 179",135
"1283","Buildingcase srl","via dardanelli 15",195
"1284","Affiliato Tecnorete: STUDIO FIAMMA S.R.L.","via fiamma calpurnio 39",175
"1285","Affiliato Tecnorete: STUDIO NEMORENSE S.R.L.","Via Nemorense 1",199
"1286","StimaCasa ","Via Gregorio VII 278/B",165
"1287","De Feo Immobiliare","Via del Brennero 57/59/61",12
"1288","EDILNETTUNO SRL","VIALE NUOVA FLORIDA 43",40
"1289","Centro Guidonia srl","Via Delle Viole  14",12
"1290","Habitat Immobiliare","Via Catullo 17 a",40
"1291","Gruppo Unica Re Agency Agenzia Roma 3 ","Via Tuscolana  1432",174
"1292","Affiliato Tecnocasa: STUDIO CARDANO S.R.L.","via Gerolamo Cardano 36/38",146
"1293","NASTI R.E.","Via Benedetto Croce 85",142
"1294","Stimacasa Ag.Marconi","Via O. da Gubbio 88",146
"1295","Affiliato Tecnorete: STUDIO IMMOBILIARE COLLI ANIENE S.R.L.","Via Ettore Franceschini  97",155
"1296","Master Immobiliare","Via Porto Neroniano 27",42
"1297","Des Immobiliare S.R.L.","via mario de bernardi  2",12
"1298","Volpe s.r.l","via l. vanvitelli,  15",153
"1299","Formiconi Immobiliare","via aureliana 2",187
"1300","CE.MI.Immobiliare","via della lega lombarda 29",162
"1301","B&R IMMOBILIARE","viale regina margherita 169",199
"1302","CENTROCONSULENZE","VIA VIGNE NUOVE 94",139
"1303","Affiliato Tecnocasa: STUDIO TUSCOLANA S.R.L. UNIPERSONALE","Viale dei Salesiani 8/c",175
"1304","IMPREPI COSTRUZIONI srl","VIA SANTOVETTI  12",46
"1305","Immobiliare SanGiorgio Srl Unipersonale","Via Giulio Roncacci 33",67
"1306","Gruppo Unica Re Agency  filiale Roma1","Via Sisto IV 42",167
"1307","Itaco re srl","viale palmiro togliatti 1508",155
"1308","Abitare Differente di Francesca Sanna","Via Plinio 18",195
"1309","Spartivento77","via capo spartivento 77",122
"1310","Studio Immobiliare ANGELINI","Largo M.llo DIAZ 13",135
"1311","Area San Paolo","Via Gabriello Chiabrera 79",145
"1312","Immobiliare Casetta Mattei 2015 srl","Via della casetta Mattei 161",148
"1313","SVS IMMOBILIARE S.A.S. ","Via Provinciale Roma  11",60
"1314","Oggi Case - Eur","Viale dell'Umanesimo   308",144
"1315","SGimmobiliare","Via Renzo da Ceri  118",176
"1316","Agenzia FRIMM Casalbertone","via Domenico Cucchiari 70",159
"1317","Volumi immobiliare di Annamaria De Matteis","Via Casal Tidei 57",156
"1318","Affiliato Tecnocasa: STUDIO CINECITTA' EST S.R.L.","Viale Antonio Ciamarra  267/269",173
"1319","perri soluzioni immobiliari","via Innocenzo XI 30",165
"1320","Immobiliare Angellotti","Via di Monte Brianzo 63",186
"1321","Affiliato Tecnocasa: STUDIO IMMOBILIARE PRATI S.R.L.","piazza risorgimento 2",192
"1322","AlessiaRE","Lungotevere Flaminio 46",196
"1323","Di Paolo Immobiliare","viale Gottardo  86",141
"1324","Immobilteam 2003 S.r.l.","via arnaldo cervesato  34",159
"1325","ALA IMMOBILIARE","Lungotevere Flaminio - Gentile Fabriano  3",196
"1326","Affiliato Tecnorete: ESQUILINO MEDIAZIONI S.R.L.","Via di S. Croce in Gerusalemme 85/a",185
"1327","HOUSE IMMOBILIARE ROMA","VIA DELLA GIULIANA 15",195
"1328","Solo Affitti - Agenzia di Roma 8","Via Georges Sorel  1",177
"1329","Italia Immobiliare","Piazza  0",44
"1330","Real Estate Service s.r.l.","FILIPPO MORETTI 3",55
"1331","Immobiliare Carta di A. Carta","via Giuseppe Gatteschi 29/31",162
"1332","VERSO CASA","VIA FEDERICO PAOLINI 168",122
"1333","TOSCANO ANAGNINA","Via Gasperina 318",173
"1334","Real Estate Plus Srl","Via fernando colombo 12",149
"1335","KOSMOS","Via Giuseppe Silla 62",196
"1336","Affiliato Tecnocasa: STUDIO COLLATINO S.R.L.","Via Collatina 63/a",177
"1337","Studio Immobiliare di Barbara Cannavale","Via Eschilo  74 L",125
"1338","Elma immobiliare di Incerti Fabrizio","via Salvatore Negretti 34",62
"1339","Stimacasa Ag. Monteverde","Via di Donna Olimpia 202",152
"1340","Lapo Immobiliare","via di rocca cencia  19/b",132
"1341","DETRA IMMOBILIARE","Via Trionfale  14147",135
"1342","Studio A.M.N. di Natalini Anna Maria","Via Giovanni Battista Martini 6",198
"1343","Progresso Immobiliare","via benedetto croce 46",142
"1344","Affiliato Tecnocasa: STUDIO MONTEVERDE VECCHIO 1 S.R.L.","V.le di villa Pamphili 36",152
"1345","Petrucci Immobiliare","Via Telegono 20/A - 20",175
"1346","Affiliato Tecnocasa: STUDIO SAN LORENZO S.R.L.","Via Tiburtina 62/64",185
"1347","Torre Rigata SRL","Via di Torre Rigata 16",131
"1348","Toscano Monte Mario","Via Trionfale 8908",135
"1349","katiasacconi","via garibaldi  178",12
"1350","L'IMMOBILIARE!","via della Rosolina 80",10
"1351","Snail Beni Immobili","Viale Lenin 56",45
"1352","StudioElle immobiliare","Via Carlo Todini 42 b",12
"1353","IMMOBILIARE COSTANZO perchè è la TUA Casa!!!","Via Federico Cesi  72",193
"1354","Fidia St. Mm Di Lamanna A.","Viale Delle Medaglie D'Oro 44",183
"1355","Affiliato Tecnocasa: IMMOBILIARE COLLEFIORITO S.R.L.","Via dei Girasoli  24",12
"1356","Affiliato Tecnocasa: IMMOBILIARE CASILINA GROTTE CELONI S.R.L.S","Via Acquaroni 92 B-C",131
"1357","Affiliato Tecnocasa: IMMOBILIARE TORRESPACCATA S.R.L.","Via Aufidio Namusa 164/166",169
"1358","MR SERVICE SRL","via rosati 6",52
"1359","Agenzia Immobiliare Mennuni","Via Adelaide Ristori snc",197
"1360","GANER ","Via Cola di Rienzo 180",192
"1361","Palazzetti Immobiliare","Via Della Giuliana 49",195
"1362","Affiliato Toscano","via Diego Simonetti  71/73",122
"1363","CasaNet Agency-Guidonia Team Srls","Viale dell'Unione 6",12
"1364","Lido RE Immobiliare","VIA G.G. ZERBI 23",122
"1365","Punto Immobiliare Infernetto","Via Cilea 15D",124
"1366","Zingaretti Immobiliare ","via arzana 57",148
"1367","Casa e Case Ardea","Viale Nuova Florida 27",40
"1368","EDILP.IMMOBILIARE SRLS","Via Settevene Palo 48",52
"1369","STILE CONSULTING","Via Mura dei Francesi 113",43
"1370","Agenzia Immobiliare di Onesti Andrea","Via Frascati 201",40
"1371","Affiliato Frimm - Di Luca Maria Cristina","via Arturo Graf 22",137
"1372","ROMA GROUP ","Via pier della francesca 44",196
"1373","Immobiliare Mastroianni Srl","Via Altino 9",183
"1374","L'IMMOBILIARE.COM - ROMA BALDUINA","Via Romeo Rodriguez Pereira 162",136
"1375","Quadrifoglio Immobiliare Punto Affiliato Papirio","Via Lucio Papirio 107",174
"1376","BUILDINGCASE MONTEVERDE IMMOBILIARE S.R.L.","VIALE DEI QUATTRO VENTI  140",152
"1377","Punto Immobiliare Morena sas","Via della Stazione di Ciampino 150",118
"1378","Punto Immobiliare Torre Angela 1 s.a.s.","Via Carlo Fadda 31",173
"1379","A.F.I. snc","Via Nocera Umbra 113",181
"1380","NUOVA PORTUENSE SRL - AFFILIATO GRUPPO TOSCANO","Via Portuense 720/F",148
"1381","IMMOBILPOINT","Via Massa San Giuliano  294",132
"1382","Immobiliare Case di Valore","Via  Borghesano Lucchese 3",146
"1383","Soluzioni Immobiliari di Silvia Brussani","Via Casal del Marmo  144A",135
"1384","Affiliato Tecnocasa: SOLUZIONI IMMOBILIARI CASSIA S.R.L.S","Via della Cappelletta della Giustiniana 25/29",123
"1385","Rimedio Immobiliare","Via dei platani  53 c",13
"1386","Gabetti - Fontenuova - ","Via Nomentana 639",13
"1387","L'immobiliare Roma Nord","Via Nomentana 444",13
"1388","SoloAffitti Anguillara Sabazia -  Fabio Brancaleoni D.I.","Largo dello zodiaco 11",61
"1389","LADAMA IMMOBILIARE","P.le G.Matteotti 4",30
"1390","PUNTO IMMOBILIARE MARINO SAS","Piazza Palmiro Togliatti 26/27/28",40
"1391"," IL SANTO IMMOBILIARE","VIA APPIA NUOVA  86",47
"1392","Studio Immobiliare Centro Case","Via Isacco Artom 79",151
"1393","Gabetti - AGENZIA DI PONTE DI NONA s.r.l. (Ponte di Nona - RM)","Viale Francesco Caltagirone  303",132
"1394","Fedim Casa srl","via angelo zottoli 26",125
"1395","DMW","VIALE DEGLI ASTRI 80",144
"1396","San Giovanni immobiliare S.r.l.","via Gallia 88/90",183
"1397","LS immobiliare","Via Valerio Publicola  35",174
"1398","Toscano punto immobiliare","via Appia Pignatelli 338/340",178
"1399","Universo Casa srl","Via Adolfo Omodeo 56",179
"1400","ITALB S.A.S.","Via Lucio Papirio 26",174
"1401","Frimm Cassia","via di grottarossa 173/A",189
"1402","DeG SERVIZI IMMOBILIARI ","Via Taranto 67",182
"1403","Seven RE Group srl","Viale Pasteur  77",144
"1404","PMcasa","Via Tor De' Schiavi  83",172
"1405","Affiliato Tecnocasa: STUDIO CASALBRUCIATO S.R.L.","Via R. Zampieri 61",159
"1406","Gruppo Toscano - Punto Immobiliare Boccea Val Cannuta","Largo Gregorio XIII  7/8",167
"1407","Gabetti agenzia Corso Italia","Corso d'Italia 93",198
"1408","Prometeo Agenzia Immobiliare di Marino Lo Giudice","Via F.A. Pigafetta 38",154
"1409","IN & HOUSE","via dei monti parioli 49a",197
"1410","Unocasa84","Via della Pisana 1036",163
"1411","Fabbrica Di Stile","Corso Trieste  165",198
"1412","Affiliato Tecnocasa: NUOVA CASETTA MATTEI S.R.L.","VIA DELLA CASETTA MATTEI 71",148
"1413","network immobiliare srl vignoli","via ferdinando di savoia  3",196
"1414","MIT SRL","Via di Torrenova 232",133
"1415","mira multiservice srl","corso trieste  86 a",198
"1416","Tecnimmobili","Piazza del mercato 8",30
"1417","SATURNO immobiliare ","Largo Saturno  15",55
"1418","Oikos di De Grazia Sara","Via G.Matteotti 71",15
"1419","Gruppo La Pietra S.R.L.","Via Salaria  150",15
"1420","Immobil Leader","Via Nomentana 22",15
"1421","Nordest Immobiliare","Via della Libertà 29",18
"1422","Solo Affitti - Roma 3 -  Marco di Meo ","Via Gallia 156",183
"1423","PFT IMMOBILIARE","Piazza A. Mancini 4",196
"1424","In Nord Area Real Estate","Via Flaminia 860/b",191
"1425","Quality Immobiliare Nuova Portuense srl","Viale di Vigna Pia 66",149
"1426","Frimm","V,le Carnaro 15/A",174
"1427","Emmelle Consulenze Immobiliari","Via Quinto Pedio 11",175
"1428","CADIA SRL","LUNGOTEVERE PORTUENSE 176/178",153
"1429","CORVIMMOBILIARE","Via del Forte Braschi 73",167
"1430","Giacobbe Immobiliare","Via Gadames 4",199
"1431","SM Immobiliare ","Via Euripide 12",125
"1432","REGROUP  agency - agenzia Prati","Via Andrea Doria 16b",192
"1433","Punto Imm.re Alessandrino s.a.s.","Viale Alessandrino 167",172
"1434","Immobiliare Roma Eur di Bernardo Giovanna","viale Camillo Sabatini  102",144
"1435","Affiliato Tecnocasa: STUDIO SEICENTO S.R.L.","via c. asello 59",175
"1436","Agenzia Immobiliare","Via. Erode Attico 2",178
"1437","Affiliato Tecnocasa: CASA TUA S.R.L.","Piazzale caduti della Montagnola 51/52",142
"1438","Studio Tecnico Medusa ","via delle rondini  86",169
"1439","PORR. IMM. Servizi Immobiliari","Viale dei cedri 2",30
"1440","italcasa","via valledoria 112114",50
"1441","Egim Costruzioni srl","Via degli Olmetti 44",60
"1442","TRIO IMMOBILIARE","Via Pablo Picasso 8",13
"1443","SELLING IMMOBILIARE","via vito giuseppe galati 66",155
"1444","CASAFree","Via Mongardino 07",166
"1445","Buildingcase Bravetta Immobiliare srl","via di bravetta  190",164
"1446","ROMUALDO COLAVALLE","via giacinto carini  25/a",152
"1447","Benimmobili","via Francesco Saverio Nitti 3",191
"1448","Soluzione Casa","Via Flaminia 954",189
"1449","Riccardo Egidi agente Immobiliare","via bocca di leone 25",187
"1450","House & Country","Via Flaminia 259",196
"1451","Immobiliare Roma Centro ","via Due Macelli 97",187
"1452","Agenzia Immobiliare SALERNI di Salerni Rosanna","Via Aurelia  523",58
"1453","RIREI SRLs","via d. birago  8",48
"1454","L'Immobiliare","Via Prenestina snc",36
"1455","Gruppo Immobil Rome di D. di Lorenzo","Via dei Giardinetti  177",133
"1456","B.C.House di Daniele Pacella","Via A. Ravà  106",142
"1457","Affiliato Tecnorete: TOR SAPIENZA S.R.L.","via di tor sapienza 117",155
"1458","Tecnostores","Via A.G. Bragaglia 33",123
"1459","NUOVA CASA IMMOBILIARE SRL","VIA CASILINA  1890i",132
"1460","Quadrifoglio Immobiliare Ninfee","Via delle Ninfee 2",100
"1461","Affiliato Tecnocasa: STUDIO IMMOBILIARE MONTESACRO S.R.L.","Viale adriatico 91/a",141
"1462","Affiliato Tecnocasa: STUDIO ALESSANDRINO S.R.L.","V.le Alessandrino 481",172
"1463","STUDIO 4 VENTI","Via Dei Quattro Venti 56",152
"1464","Mancini Immobiliare","Piazza Indipendenza 14/A",15
"1465","Studio Tecnico Agenzia Immobiliare","Via Danimarca 37",40
"1466","Pomezia Immobiliare S.r.l.","Via Roma 96",40
"1467","GROUP MAZZETTA IMMOBILIARE","P.le Clodio  12",195
"1468","Marconi Immobiliare srl ","via oderisi da gubbio  156",146
"1469","Pucci","Viale Alessandrino 588",172
"1470","Quadrifoglio Immobiliare Partenope 1","Viale Partenope 14",100
"1471","Marta Buongiorno","via alessandro severo 242",145
"1472","Promoinvest Real Estate S.r.l.","Via della Fontanella di Borghese  31",186
"1473","Borghese Immobiliare","Via Antonio Gramsci 22",197
"1474","Affiliato Tecnocasa: STUDIO FIANO R. SAS ","via Aldo Moro 83/A",65
"1475","rocfelservizi immobiliari","Via Giulia 126",186
"1476","Affiliato Tecnocasa: STUDIO IMMOBILIARE FLAMINIO S.R.L.","v.le del vignola 68/B",196
"1477","Maison Ami","VIA GUIDO ROSSA 34",65
"1478","Affiliato Tecnocasa: GROTTAFERRATA REAL ESTATE S.R.L.","via della Costituente  14",46
"1479","Stimacasa - Balduina","Piazza Giovenale 22",136
"1480","Fabrizio Franchini Servizi Immobiliari","via delle vigne 73",148
"1481","Guidi Immobiliare","Via Pietro Sterbini  5",153
"1482","area-re agenzia tagliamento","Via Tagliamento 48/B",198
"1483","area-re agenzia colombo","Via Fonte Buono 83",142
"1484","Affiliato Tecnocasa: SETTECAMINI MEDIAZIONI S.R.L.S","Via Montenero Sabino 38",131
"1485","Affiliato Tecnocasa: STUDIO MARCONI 1 S.R.L.","Via Oderisi da Gubbio 38",146
"1486","Gabetti Immobiliare Roma Centro S.r.l.","via roma libera  20",153
"1487","CR Immobili Roma","via Erasmo Gattamelata 73",176
"1488","Agenzia Immobiliare Domizia","Via Lucina Giunone - Frazione S.Severa 18C",58
"1489","Sportello Immobiliare Genazzano","Via Trento e Trieste 3/B",30
"1490","TEVERE IMMOBILIARE","Via G.B. Bodoni 52",153
"1491","Agorà 89","Viale Tiziano  19",196
"1492","G.M. IMMOBILIARE","via umberto giordano 95",124
"1493","GRUPPO DEL MONTE","
",NA
"1494","GENESI IMMOBILIARE","Via Umberto Giordano 95",124
"1495","Zona X Immobiliare","Via Romolo Valli  20",137
"1496","Affiliato Tecnocasa: STUDIO BALDUINA S.R.L.","piazzale delle medaglie d'oro 27",136
"1497","Andreucci Immobiliare ","Corso Trieste 91",198
"1498","Punto Immobiliare Appio Claudio s.a.s.","via Publio Valerio 42",175
"1499","1% IMMOBILIARE","Via Oreste Tommasini 37",162
"1500","GestImm Srl","Viale Avignone 116",144
"1501","Nuova Re","Via Luigi Rizzo 44",136
"1502","BF Immobiliare","V.le V. Marronaro 134",128
"1503","Affiliato Tecnocasa: IMMOBILIARE NUOVA PORTUENSE S.R.L.","VIA ETTORE PALADINI 57",149
"1504","Affiliato Tecnocasa: IMMOBILIARE TUSCOLANA S.R.L.","via Tarquinio Collatino  123",175
"1505","FRIMM Giustiniana","Via della Giustiniana 71",188
"1506","TECTUM IMMOBILIARE","Garibaldi 17",69
"1507","Valentina - ditta individuale","via vigne nuove 33",13
"1508","Immobilarea","Circonvallazione Gianicolense 268",158
"1509","Professionecasa Roma NOMENTANA CASAL DE PAZZI - NUOVO PRIMATO SAS","VIA EGIDIO GALBANI 65",156
"1510","Finsea immobiliare","viale medaglie d'oro 414",136
"1511","LA CASA agency - Roma Vescovio","VIA DI PRISCILLA 104",199
"1512","Affiliato Tecnocasa: STUDIO MAGLIANA 1 S.R.L.","Via della Magliana 251F",148
"1513","DOMITIA IMMOBILIARE","Via del Pantheon 45",140
"1514","Aurelia Immobiliare snc","Viale Angelico 54",195
"1515","BrunelliRE","Piazza Filippo Carli  27",191
"1516","Fusco Immobiliare","via valmaggia 158/160",141
"1517","RE/MAX Power","VIA DEL GELSOMINO 56",165
"1518","DA STUDIO IMMOBILIARE","VIA OMBRONE 12/B",198
"1519","Arancio Immobiliare","Via Canzone del piave 35",143
"1520","Affiliato Tecnocasa: STUDIO ANAGNINA S.R.L.","Via Gasperina  184",173
"1521","Affiliato Tecnorete: STUDIO SERENISSIMA S.R.L.","Via Tor De' Schiavi 354",171
"1522","Affiliato Tecnorete: STUDIO VILLA GORDIANI S.R.L.S. UNIPERSONALE","Viale Partenope  40",177
"1523","OFFICINE IMMOBILIARI ","VIA BRACCIO DA MONTONE 89-93",176
"1524","LA CONCA D'ORO SRL","via val di non  102",141
"1525","GB IMMOBILIARE","Via Angelo Olivieri  ( Ostia Lido ) 66/A",122
"1526","Technical Services Immobiliare S.r.l.","Via Costabella 26",195
"1527","Servizi Immobiliari P.S. case","Via Oscar Ghiglia 327/329 80",125
"1528","Real Estate International in Rome","via Giulia  58A",186
"1529","Immobiliare Pyrgi 2012","Via G. Lucina 2/A",58
"1530","Tiburno Immobiliare srls","Via Campolimpido 37",19
"1531","CAVALIERI STUDIO IMMOBILIARE","VIA TRAVERSINI 9",62
"1532","FREGENE IMMOBILHOUSE","viale sestri ponente - Fregene 47",54
"1533","Immobiliare del Corso Srl","via del Corso  117",186
"1534","Medim Immobiliare","viale mazzini 4",195
"1535","Evolution Casa Srl","Via Germanico  203",192
"1536","Affiliato Tecnocasa: COLLI PORTUENSI S.R.L.","v.le dei colli portuensi 19",151
"1537","Affiliato Tecnocasa: STUDIO EUR 1 S.R.L.","V.le dell'Aeronautica 117",144
"1538","STUDIO BAGNI DI TIVOLI S.R.L.","Via Tiburtina  188",19
"1539","FORUM IMMOBILIARE DI GAETANI RUDY","VIA 29 GENNAIO  23",34
"1540","PUNTO Immobiliare Fiumicino Isola Sacra srl","VIa Giorgio Giorgis 77-77/A",54
"1541","Marras Caterina","Via 3 novembre 91",13
"1542","GESCA STUDIO IMMOBILIARE DI CORRADO CAMPANELLO","Via Rialto  20",136
"1543","Montesacro Immobiliare SRL","via Martana 9/11",141
"1544","MACOFIN s.a.s.","via di Torrevecchia 21/A",168
"1545","Affiliato Tecnocasa: STUDIO DEGLI EROI S.N.C. DI ANDREA GALLI & C.","Via San Tommaso D'Aquino 2/4",136
"1546","Best immobiliare ","VIA NICOLA FABRIZI 11-B",153
"1547","Nuova Attici","Passeggiata di Ripetta  26",186
"1548","Servizi Fondiari srl","Via di Propaganda 16",187
"1549","Dolce Casa Immobiliare","via giovanni gentile 8",136
"1550","Affiliato Tecnorete: FLEMING S.R.L.","VIA FLAMINIA 639 - 639A",191
"1551","eticasi - EUROIMMOBILIARE ","Via di San Claudio (Piazza S. Silvestro) 69",187
"1552","Pietro Paolo Gabrielli","Via E. Q. Visconti 58",193
"1553","Krhome","Via Poli 29",187
"1554","Gabetti - Santa Marinella Immobiliare srl (Santa Marinella - RM)","Via Aurelia 329",58
"1555","Terzi Immobiliare affiliato Quadrifoglio Immobiliare Monteverde","Via di Monteverde 106/b",151
"1556","Aventino Immobiliare","Via Luca della Robbia  78",153
"1557","YouTooStudio","VIA ALESSIO BALDOVINETTI 97/99",142
"1558","PISANO IMMOBILIARE","via Magna Grecia 30/A",176
"1559","Affiliato Fondocasa Roma Trieste/Salario","Via di Villa Chigi  85/87",199
"1560","Grande Immobiliare srl","via Circonvallazione Gianicolense 262",152
"1561","TUA CINZIA","VIA ASCANIO VITOZZI 14",128
"1562","MIRABELLA RE S.R.L.","Via Tomba di Nerone  14A",189
"1563","IMMOBILIARE APPIO LATINO ","Via Tarquinio Prisco 41",181
"1564","THS Immobiliare S.r.l.s.","Viale Odone Belluzzi 223",128
"1565","Paola Ciotti IMMOBILIARE","via marilyn monroe  150",128
"1566","Affiliato Tecnocasa: GESTIONI IMMOBILIARI S.R.L.","Via cavour  177",184
"1567","Buildingcase Bologna Immobiliare s.r.l.","Via Catania 68",161
"1568","Immobilvarese","Via Varese 15",185
"1569","STUDIO MOLINARO REAL ESTATE ","Via del Babuino  158",187
"1570","Crea Immobiliare","Via Martino Rota 11",133
"1571","Affiliato Tecnocasa: STUDIO TRIPOLI 1 S.R.L.","via tripoli 33/a",199
"1572","Giemme S.r.l.","via formellese 9",123
"1573","CAM srl ","via alberto pollio 59",159
"1574","ANTONELLI IMMOBILIARE S.R.L.","VIA FELICE CAVALLOTTI 121",152
"1575","Atlantico srl - Ville dei Cesari","Via A. Pizzini  26",124
"1576","IMMOBILMEDIA di Bonamici Carlo","Via Trieste 18/A",53
"1577","Divisione di Studio M Di Giuseppina Lauridia","Via Capo D'Africa 20/A",184
"1578","Quadrifoglio Immobiliare Gattamelata","Via Erasmo Gattamelata 121",177
"1579","Quadrifoglio Immobiliare Cinecitta","Via Calpurnio Fiamma 55",100
"1580","YouRealEstate","Circonvallazione Ostiense 179",154
"1581","Attici Studio Immobiliare","Via Caio Mario  8",192
"1582","Immobiliare PRIMEX","VIALE CADUTI GUERRA LIBERAZIONE 166",128
"1583","Sebastiano Quarantelli","Via Palermo 43",184
